ShipName,planet,coord_place,direction,password
ФMЭE-210,Фарнслетия,-7 75,-7 6,тияMЭФа
CVЬЗ-730,Дуин,-55 20,9 -1,уинVЬДу
ЛITD-778,Цитрамор,46 97,-6 -9,морITЦи
ДВTТ-686,Праметия,29 11,1 -5,тияВTПр
ИФZШ-969,Едор,-97 -64,-6 -7,дорФZЕд
KЬKШ-824,Цитрамор,-49 -87,-9 0,морЬKЦи
ЯЮOУ-188,Ривенделл,0 -61,-6 3,еллЮOРи
ЧOАИ-270,Южный кошмар,59 41,0 -6,марOАЮж
AZBV-274,Фиринция,-51 54,-8 -7,цияZBФи
LIJЙ-879,Целиндия,-99 -68,-4 -7,дияIJЦе
TGЫH-549,Жимрамир,-57 -34,5 8,мирGЫЖи
ГKLS-231,Диасурия,30 82,0 -1,рияKLДи
ЬSBЮ-217,Уриллион,79 14,-4 -10,ионSBУр
ЬЯJТ-431,Юхусия,-22 24,0 -8,сияЯJЮх
ЕХXT-899,Арда,30 14,8 -3,рдаХXАр
БАЩX-551,Гондор,-39 90,1 6,дорАЩГо
BЖЛЩ-86,Харад,55 83,-3 -4,радЖЛХа
JQМЩ-656,Юэгусия,-54 25,9 -9,сияQМЮэ
ОИVА-767,Яскария,51 75,-8 -3,рияИVЯс
MEЧУ-99,Зуария,88 -26,-4 -7,рияEЧЗу
ФWДK-369,Лоркиндария,64 -3,-4 0,рияWДЛо
МCЩT-272,Услилка,25 61,-3 -2,лкаCЩУс
ГВЫН-568,Тол-Арда,90 95,5 -3,рдаВЫТо
ГЖPЪ-715,Ярость Горы,60 40,8 -2,орыЖPЯр
ULMЦ-578,Лоркиндария,-56 -51,-4 -3,рияLMЛо
ФЦЗF-568,Фангорн,77 -17,2 -7,орнЦЗФа
ЭAАЭ-816,Мира,-20 37,-6 -1,ираAАМи
HNОЮ-871,Утопия,-30 86,0 -9,пияNОУт
ЭRЗЗ-646,Аглатосия,-5 -8,0 -5,сияRЗАг
ЗЮГТ-740,Праметия,75 96,7 3,тияЮГПр
СЩВA-750,Ясмария,60 11,0 -4,рияЩВЯс
KPЫД-433,Сирмария,-30 -81,-10 -7,рияPЫСи
ЪMPД-305,Парадель,4 -91,-8 -10,ельMPПа
АФKO-611,Царкония,-40 -83,-3 -4,нияФKЦа
UСXД-311,Харантария,-57 -41,-9 5,рияСXХа
DXБЗ-272,Мира,-92 79,4 2,ираXБМи
IZNL-84,Моргариан,-79 93,-2 7,ианZNМо
ЗGQG-473,Ридайя,36 -81,1 -4,айяGQРи
VOЪЙ-952,Егана,-83 78,-6 1,анаOЪЕг
HUРS-181,Есендария,-88 79,2 3,рияUРЕс
ВTWВ-386,Жимрамир,-91 39,9 6,мирTWЖи
XГYE-349,Варитор,-20 -1,6 7,торГYВа
МCSП-434,Гординия,6 -67,-3 6,нияCSГо
FЬYЗ-289,Руэндария,-73 -93,8 -6,рияЬYРу
ЯЮHC-766,Зуария,-49 20,4 -5,рияЮHЗу
ЛFBX-178,Моргариан,41 -2,-8 -2,ианFBМо
ТLЕV-336,Сиалония,91 2,-4 5,нияLЕСи
ЩQЧУ-140,Тибулония,0 0,4 -4,нияQЧТи
ЫRWГ-326,Королевство Эребора,-23 43,1 -8,ораRWКо
ЫFНP-80,Ендария,60 -46,-7 -9,рияFНЕн
ТWТJ-576,Парадель,-13 -15,8 1,ельWТПа
УMAE-221,Парадель,82 -63,5 6,ельMAПа
NKФO-769,Мирфоний,50 -92,-4 -5,нийKФМи
ЙХJК-208,Идаллия,30 -89,-10 -9,лияХJИд
ЦАKV-491,Гондор,0 0,5 1,дорАKГо
